size,base,protein,sauce,toppings0,toppings1,toppings2,toppings3,rating
Small Bowl,White Rice,Chicken,Lime Fish Sauce,Carrots,Jalapenos,Scallions,Sprouts,2
Large Bowl,White Rice,Beef,Soy Sauce,Cucumbers,Sprouts,Pickled Daikon,,5
Large Bowl,Brown Rice,Chicken,Peanut Sauce,Peanuts,Carrots,Sprouts,Scallions,5
Large Bowl,White Rice,Tofu,Peanut Sauce,Peanuts,Carrots,Sprouts,Scallions,5
Large Bowl,Vermicelli Noodles,Beef,Peanut Sauce,Cucumbers,Carrots,Sprouts,,1
Large Bowl,Vermicelli Noodles,Tofu,Peanut Sauce,Scallions,Carrots,Pickled Daikon,,5
Small Bowl,White Rice,Tofu,Soy Sauce,Cucumbers,Carrots,Sprouts,,4
Small Bowl,Brown Rice,Beef,Soy Sauce,Cucumbers,Jalapenos,Sprouts,,3
Large Bowl,White Rice,Chicken,Lime Fish Sauce,Cucumbers,Sprouts,,,2
Large Bowl,Brown Rice,Chicken,Peanut Sauce,Peanuts,Carrots,Sprouts,Scallions,5
Large Bowl,White Rice,Tofu,Peanut Sauce,Peanuts,Carrots,Sprouts,Scallions,5
Large Bowl,Vermicelli Noodles,Beef,Peanut Sauce,Cucumbers,Carrots,Sprouts,,1
Large Bowl,Brown Rice,Chicken,Peanut Sauce,Peanuts,Carrots,Sprouts,Scallions,5
Small Bowl,White Rice,Chicken,Lime Fish Sauce,Carrots,Jalapenos,Scallions,Sprouts,2
Small Bowl,White Rice,Tofu,Soy Sauce,Cucumbers,Carrots,Sprouts,,4
Small Bowl,White Rice,Tofu,Soy Sauce,Cucumbers,Carrots,Sprouts,,2
Large Bowl,Brown Rice,Chicken,Peanut Sauce,Peanuts,Carrots,Sprouts,Scallions,4
Small Bowl,Brown Rice,Beef,Soy Sauce,Cucumbers,Jalapenos,Sprouts,,5
Small Bowl,White Rice,Beef,Soy Sauce,Cucumbers,Jalapenos,Sprouts,,4
Large Bowl,Vermicelli Noodles,Beef,Peanut Sauce,Cucumbers,Carrots,Sprouts,,2
Large Bowl,Brown Rice,Chicken,Peanut Sauce,Peanuts,Carrots,Sprouts,Scallions,4
Large Bowl,Brown Rice,Chicken,Peanut Sauce,Peanuts,Cucumbers,Sprouts,Scallions,4
Small Bowl,White Rice,Chicken,Peanut Sauce,Peanuts,Carrots,Sprouts,Scallions,3
Large Bowl,Brown Rice,Chicken,Peanut Sauce,Peanuts,Carrots,Cucumbers,Scallions,4
Small Bowl,White Rice,Chicken,Lime Fish Sauce,Carrots,Jalapenos,Scallions,Sprouts,1
